method,evaluation_method,dataset,config_index,config_id,checkpoint_type,checkpoint_step,rows,ham_count,spam_count,accuracy,precision,recall,f1,specificity,balanced_accuracy,false_positive_count,false_negative_count,true_positive_count,true_negative_count,false_positive_rate,false_negative_rate,spam_prediction_rate,classification_failure_count,classification_failure_rate,eval_batch_size,max_seq_length,learning_rate,lora_r,lora_alpha,lora_dropout,checkpoint_path,runtime_seconds,status,error_message
01_sequence_classification,sequence_classification,train_subset,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,600,1000,500,500,0.989,0.9841584158415841,0.994,0.9890547263681592,0.984,0.989,8.0,3.0,497.0,492.0,0.016,0.006,0.505,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/01_sequence_classification/results/sweeps/qwen3_sequence_classification_20260606_214107/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-600,13.077,completed,
01_sequence_classification,sequence_classification,enron,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,600,1000,1000,0,0.777,0.0,0.0,0.0,0.777,0.3885,223.0,0.0,0.0,777.0,0.223,0.0,0.223,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/01_sequence_classification/results/sweeps/qwen3_sequence_classification_20260606_214107/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-600,9.2757,completed,
01_sequence_classification,sequence_classification,fraudulent_email_corpus,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,600,1000,0,1000,0.979,1.0,0.979,0.989388580090955,0.0,0.4895,0.0,21.0,979.0,0.0,0.0,0.021,0.979,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/01_sequence_classification/results/sweeps/qwen3_sequence_classification_20260606_214107/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-600,15.3336,completed,
01_sequence_classification,sequence_classification,spam_ham,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,600,1000,716,284,0.643,0.4419713831478537,0.9788732394366197,0.6089813800657174,0.5097765363128491,0.7443248878747344,351.0,6.0,278.0,365.0,0.49022346368715086,0.02112676056338028,0.629,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/01_sequence_classification/results/sweeps/qwen3_sequence_classification_20260606_214107/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-600,8.2119,completed,
01_sequence_classification,sequence_classification,train_subset,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,1800,1000,500,500,0.996,0.9979919678714859,0.994,0.9959919839679359,0.998,0.996,1.0,3.0,497.0,499.0,0.002,0.006,0.498,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/01_sequence_classification/results/sweeps/qwen3_sequence_classification_20260606_214107/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-1800,10.4205,completed,
01_sequence_classification,sequence_classification,enron,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,1800,1000,1000,0,0.895,0.0,0.0,0.0,0.895,0.4475,105.0,0.0,0.0,895.0,0.105,0.0,0.105,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/01_sequence_classification/results/sweeps/qwen3_sequence_classification_20260606_214107/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-1800,9.2353,completed,
01_sequence_classification,sequence_classification,fraudulent_email_corpus,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,1800,1000,0,1000,0.99,1.0,0.99,0.9949748743718593,0.0,0.495,0.0,10.0,990.0,0.0,0.0,0.01,0.99,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/01_sequence_classification/results/sweeps/qwen3_sequence_classification_20260606_214107/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-1800,15.3296,completed,
01_sequence_classification,sequence_classification,spam_ham,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,1800,1000,716,284,0.808,0.6008771929824561,0.9647887323943662,0.7405405405405405,0.7458100558659218,0.855299394130144,182.0,10.0,274.0,534.0,0.2541899441340782,0.035211267605633804,0.456,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/01_sequence_classification/results/sweeps/qwen3_sequence_classification_20260606_214107/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-1800,8.2113,completed,
01_sequence_classification,sequence_classification,train_subset,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,2400,1000,500,500,0.995,0.9900990099009901,1.0,0.9950248756218906,0.99,0.995,5.0,0.0,500.0,495.0,0.01,0.0,0.505,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/01_sequence_classification/results/sweeps/qwen3_sequence_classification_20260606_214107/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-2400,10.4573,completed,
01_sequence_classification,sequence_classification,enron,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,2400,1000,1000,0,0.849,0.0,0.0,0.0,0.849,0.4245,151.0,0.0,0.0,849.0,0.151,0.0,0.151,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/01_sequence_classification/results/sweeps/qwen3_sequence_classification_20260606_214107/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-2400,9.288,completed,
01_sequence_classification,sequence_classification,fraudulent_email_corpus,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,2400,1000,0,1000,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.0,1000.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/01_sequence_classification/results/sweeps/qwen3_sequence_classification_20260606_214107/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-2400,15.3396,completed,
01_sequence_classification,sequence_classification,spam_ham,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,2400,1000,716,284,0.812,0.6016949152542372,1.0,0.7513227513227513,0.7374301675977654,0.8687150837988826,188.0,0.0,284.0,528.0,0.26256983240223464,0.0,0.472,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/01_sequence_classification/results/sweeps/qwen3_sequence_classification_20260606_214107/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-2400,8.2064,completed,
01_sequence_classification,sequence_classification,train_subset,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,3600,1000,500,500,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,500.0,500.0,0.0,0.0,0.5,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/01_sequence_classification/results/sweeps/qwen3_sequence_classification_20260606_214107/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-3600,10.4651,completed,
01_sequence_classification,sequence_classification,enron,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,3600,1000,1000,0,0.846,0.0,0.0,0.0,0.846,0.423,154.0,0.0,0.0,846.0,0.154,0.0,0.154,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/01_sequence_classification/results/sweeps/qwen3_sequence_classification_20260606_214107/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-3600,9.2404,completed,
01_sequence_classification,sequence_classification,fraudulent_email_corpus,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,3600,1000,0,1000,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.0,1000.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/01_sequence_classification/results/sweeps/qwen3_sequence_classification_20260606_214107/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-3600,15.353,completed,
01_sequence_classification,sequence_classification,spam_ham,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,3600,1000,716,284,0.806,0.5945378151260504,0.9964788732394366,0.7447368421052631,0.7304469273743017,0.8634629003068692,193.0,1.0,283.0,523.0,0.26955307262569833,0.0035211267605633804,0.476,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/01_sequence_classification/results/sweeps/qwen3_sequence_classification_20260606_214107/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-3600,8.2492,completed,
01_sequence_classification,sequence_classification,train_subset,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,4200,1000,500,500,0.997,1.0,0.994,0.9969909729187563,1.0,0.997,0.0,3.0,497.0,500.0,0.0,0.006,0.497,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/01_sequence_classification/results/sweeps/qwen3_sequence_classification_20260606_214107/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-4200,10.4376,completed,
01_sequence_classification,sequence_classification,enron,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,4200,1000,1000,0,0.962,0.0,0.0,0.0,0.962,0.481,38.0,0.0,0.0,962.0,0.038,0.0,0.038,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/01_sequence_classification/results/sweeps/qwen3_sequence_classification_20260606_214107/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-4200,9.3038,completed,
01_sequence_classification,sequence_classification,fraudulent_email_corpus,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,4200,1000,0,1000,0.967,1.0,0.967,0.9832231825114387,0.0,0.4835,0.0,33.0,967.0,0.0,0.0,0.033,0.967,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/01_sequence_classification/results/sweeps/qwen3_sequence_classification_20260606_214107/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-4200,15.3376,completed,
01_sequence_classification,sequence_classification,spam_ham,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,4200,1000,716,284,0.971,0.9381443298969072,0.9612676056338029,0.9495652173913044,0.9748603351955307,0.9680639704146667,18.0,11.0,273.0,698.0,0.025139664804469275,0.03873239436619718,0.291,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/01_sequence_classification/results/sweeps/qwen3_sequence_classification_20260606_214107/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-4200,8.1222,completed,
01_sequence_classification,sequence_classification,train_subset,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,5400,1000,500,500,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,500.0,500.0,0.0,0.0,0.5,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/01_sequence_classification/results/sweeps/qwen3_sequence_classification_20260606_214107/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-5400,10.7611,completed,
01_sequence_classification,sequence_classification,enron,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,5400,1000,1000,0,0.868,0.0,0.0,0.0,0.868,0.434,132.0,0.0,0.0,868.0,0.132,0.0,0.132,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/01_sequence_classification/results/sweeps/qwen3_sequence_classification_20260606_214107/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-5400,9.6131,completed,
01_sequence_classification,sequence_classification,fraudulent_email_corpus,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,5400,1000,0,1000,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.0,1000.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/01_sequence_classification/results/sweeps/qwen3_sequence_classification_20260606_214107/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-5400,15.395,completed,
