method,evaluation_method,dataset,config_index,config_id,checkpoint_type,checkpoint_step,rows,ham_count,spam_count,accuracy,precision,recall,f1,specificity,balanced_accuracy,false_positive_count,false_negative_count,true_positive_count,true_negative_count,false_positive_rate,false_negative_rate,spam_prediction_rate,classification_failure_count,classification_failure_rate,eval_batch_size,max_seq_length,learning_rate,lora_r,lora_alpha,lora_dropout,checkpoint_path,runtime_seconds,status,error_message
02_causal_lm_generation_parsing,causal_lm_generation_parsing,train_subset,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,600,1000,500,500,0.982,0.9938524590163934,0.97,0.9817813765182185,0.994,0.982,3.0,15.0,485.0,497.0,0.006,0.03,0.488,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/02_causal_lm_generation_parsing/results/sweeps/qwen3_clm_generation_parsing_20260607_030839/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-600,17.5726,completed,
02_causal_lm_generation_parsing,causal_lm_generation_parsing,enron,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,600,1000,1000,0,0.959,0.0,0.0,0.0,0.959,0.4795,41.0,0.0,0.0,959.0,0.041,0.0,0.041,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/02_causal_lm_generation_parsing/results/sweeps/qwen3_clm_generation_parsing_20260607_030839/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-600,13.181,completed,
02_causal_lm_generation_parsing,causal_lm_generation_parsing,fraudulent_email_corpus,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,600,1000,0,1000,0.989,1.0,0.989,0.9944695827048768,0.0,0.4945,0.0,11.0,989.0,0.0,0.0,0.011,0.989,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/02_causal_lm_generation_parsing/results/sweeps/qwen3_clm_generation_parsing_20260607_030839/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-600,19.4866,completed,
02_causal_lm_generation_parsing,causal_lm_generation_parsing,spam_ham,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,600,1000,716,284,0.96,0.9039735099337748,0.9612676056338029,0.9317406143344711,0.9594972067039106,0.9603824061688567,29.0,11.0,273.0,687.0,0.040502793296089384,0.03873239436619718,0.302,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/02_causal_lm_generation_parsing/results/sweeps/qwen3_clm_generation_parsing_20260607_030839/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-600,12.3041,completed,
02_causal_lm_generation_parsing,causal_lm_generation_parsing,train_subset,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,1800,1000,500,500,0.995,0.9920477137176938,0.998,0.9950149551345961,0.992,0.995,4.0,1.0,499.0,496.0,0.008,0.002,0.503,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/02_causal_lm_generation_parsing/results/sweeps/qwen3_clm_generation_parsing_20260607_030839/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-1800,14.4689,completed,
02_causal_lm_generation_parsing,causal_lm_generation_parsing,enron,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,1800,1000,1000,0,0.861,0.0,0.0,0.0,0.861,0.4305,139.0,0.0,0.0,861.0,0.139,0.0,0.139,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/02_causal_lm_generation_parsing/results/sweeps/qwen3_clm_generation_parsing_20260607_030839/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-1800,13.2777,completed,
02_causal_lm_generation_parsing,causal_lm_generation_parsing,fraudulent_email_corpus,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,1800,1000,0,1000,0.994,1.0,0.994,0.9969909729187563,0.0,0.497,0.0,6.0,994.0,0.0,0.0,0.006,0.994,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/02_causal_lm_generation_parsing/results/sweeps/qwen3_clm_generation_parsing_20260607_030839/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-1800,19.4128,completed,
02_causal_lm_generation_parsing,causal_lm_generation_parsing,spam_ham,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,1800,1000,716,284,0.745,0.527001862197393,0.9964788732394366,0.6894031668696712,0.6452513966480447,0.8208651349437406,254.0,1.0,283.0,462.0,0.3547486033519553,0.0035211267605633804,0.537,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/02_causal_lm_generation_parsing/results/sweeps/qwen3_clm_generation_parsing_20260607_030839/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-1800,12.216,completed,
02_causal_lm_generation_parsing,causal_lm_generation_parsing,train_subset,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,2400,1000,500,500,0.996,0.9920634920634921,1.0,0.9960159362549801,0.992,0.996,4.0,0.0,500.0,496.0,0.008,0.0,0.504,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/02_causal_lm_generation_parsing/results/sweeps/qwen3_clm_generation_parsing_20260607_030839/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-2400,14.39,completed,
02_causal_lm_generation_parsing,causal_lm_generation_parsing,enron,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,2400,1000,1000,0,0.828,0.0,0.0,0.0,0.828,0.414,172.0,0.0,0.0,828.0,0.172,0.0,0.172,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/02_causal_lm_generation_parsing/results/sweeps/qwen3_clm_generation_parsing_20260607_030839/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-2400,13.3003,completed,
02_causal_lm_generation_parsing,causal_lm_generation_parsing,fraudulent_email_corpus,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,2400,1000,0,1000,0.999,1.0,0.999,0.9994997498749374,0.0,0.4995,0.0,1.0,999.0,0.0,0.0,0.001,0.999,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/02_causal_lm_generation_parsing/results/sweeps/qwen3_clm_generation_parsing_20260607_030839/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-2400,19.4656,completed,
02_causal_lm_generation_parsing,causal_lm_generation_parsing,spam_ham,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,2400,1000,716,284,0.762,0.5440613026819924,1.0,0.7047146401985112,0.6675977653631285,0.8337988826815643,238.0,0.0,284.0,478.0,0.3324022346368715,0.0,0.522,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/02_causal_lm_generation_parsing/results/sweeps/qwen3_clm_generation_parsing_20260607_030839/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-2400,12.061,completed,
02_causal_lm_generation_parsing,causal_lm_generation_parsing,train_subset,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,3600,1000,500,500,0.998,1.0,0.996,0.9979959919839679,1.0,0.998,0.0,2.0,498.0,500.0,0.0,0.004,0.498,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/02_causal_lm_generation_parsing/results/sweeps/qwen3_clm_generation_parsing_20260607_030839/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-3600,14.381,completed,
02_causal_lm_generation_parsing,causal_lm_generation_parsing,enron,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,3600,1000,1000,0,0.876,0.0,0.0,0.0,0.876,0.438,124.0,0.0,0.0,876.0,0.124,0.0,0.124,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/02_causal_lm_generation_parsing/results/sweeps/qwen3_clm_generation_parsing_20260607_030839/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-3600,13.4241,completed,
02_causal_lm_generation_parsing,causal_lm_generation_parsing,fraudulent_email_corpus,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,3600,1000,0,1000,0.999,1.0,0.999,0.9994997498749374,0.0,0.4995,0.0,1.0,999.0,0.0,0.0,0.001,0.999,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/02_causal_lm_generation_parsing/results/sweeps/qwen3_clm_generation_parsing_20260607_030839/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-3600,19.5005,completed,
02_causal_lm_generation_parsing,causal_lm_generation_parsing,spam_ham,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,3600,1000,716,284,0.884,0.7110552763819096,0.9964788732394366,0.8299120234604106,0.8393854748603352,0.9179321740498859,115.0,1.0,283.0,601.0,0.16061452513966482,0.0035211267605633804,0.398,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/02_causal_lm_generation_parsing/results/sweeps/qwen3_clm_generation_parsing_20260607_030839/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-3600,12.2601,completed,
02_causal_lm_generation_parsing,causal_lm_generation_parsing,train_subset,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,4200,1000,500,500,0.998,1.0,0.996,0.9979959919839679,1.0,0.998,0.0,2.0,498.0,500.0,0.0,0.004,0.498,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/02_causal_lm_generation_parsing/results/sweeps/qwen3_clm_generation_parsing_20260607_030839/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-4200,14.4968,completed,
02_causal_lm_generation_parsing,causal_lm_generation_parsing,enron,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,4200,1000,1000,0,0.966,0.0,0.0,0.0,0.966,0.483,34.0,0.0,0.0,966.0,0.034,0.0,0.034,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/02_causal_lm_generation_parsing/results/sweeps/qwen3_clm_generation_parsing_20260607_030839/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-4200,13.3719,completed,
02_causal_lm_generation_parsing,causal_lm_generation_parsing,fraudulent_email_corpus,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,4200,1000,0,1000,0.994,1.0,0.994,0.9969909729187563,0.0,0.497,0.0,6.0,994.0,0.0,0.0,0.006,0.994,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/02_causal_lm_generation_parsing/results/sweeps/qwen3_clm_generation_parsing_20260607_030839/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-4200,19.3732,completed,
02_causal_lm_generation_parsing,causal_lm_generation_parsing,spam_ham,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,4200,1000,716,284,0.986,0.9655172413793104,0.9859154929577465,0.975609756097561,0.9860335195530726,0.9859745062554095,10.0,4.0,280.0,706.0,0.013966480446927373,0.014084507042253521,0.29,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/02_causal_lm_generation_parsing/results/sweeps/qwen3_clm_generation_parsing_20260607_030839/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-4200,12.146,completed,
02_causal_lm_generation_parsing,causal_lm_generation_parsing,train_subset,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,5400,1000,500,500,0.998,0.9960159362549801,1.0,0.998003992015968,0.996,0.998,2.0,0.0,500.0,498.0,0.004,0.0,0.502,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/02_causal_lm_generation_parsing/results/sweeps/qwen3_clm_generation_parsing_20260607_030839/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-5400,14.3488,completed,
02_causal_lm_generation_parsing,causal_lm_generation_parsing,enron,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,5400,1000,1000,0,0.863,0.0,0.0,0.0,0.863,0.4315,137.0,0.0,0.0,863.0,0.137,0.0,0.137,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/02_causal_lm_generation_parsing/results/sweeps/qwen3_clm_generation_parsing_20260607_030839/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-5400,13.1754,completed,
02_causal_lm_generation_parsing,causal_lm_generation_parsing,fraudulent_email_corpus,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,5400,1000,0,1000,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.0,1000.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/02_causal_lm_generation_parsing/results/sweeps/qwen3_clm_generation_parsing_20260607_030839/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-5400,19.2587,completed,
02_causal_lm_generation_parsing,causal_lm_generation_parsing,spam_ham,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,5400,1000,716,284,0.829,0.6241758241758242,1.0,0.7686062246278755,0.7611731843575419,0.880586592178771,171.0,0.0,284.0,545.0,0.2388268156424581,0.0,0.455,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/02_causal_lm_generation_parsing/results/sweeps/qwen3_clm_generation_parsing_20260607_030839/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-5400,11.9642,completed,
02_causal_lm_generation_parsing,causal_lm_generation_parsing,train_subset,6,lr_context_seq1024_lr1e-4_r16_a32_do0p05,trainer_checkpoint,6000,1000,500,500,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,500.0,500.0,0.0,0.0,0.5,0.0,0.0,32.0,1024,0.0001,16,32,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/02_causal_lm_generation_parsing/results/sweeps/qwen3_clm_generation_parsing_20260607_030839/06_lr_context_seq1024_lr1e-4_r16_a32_do0p05/trainer_output/checkpoint-6000,14.2475,completed,
