method,evaluation_method,dataset,config_index,config_id,checkpoint_type,checkpoint_step,rows,ham_count,spam_count,accuracy,precision,recall,f1,specificity,balanced_accuracy,false_positive_count,false_negative_count,true_positive_count,true_negative_count,false_positive_rate,false_negative_rate,spam_prediction_rate,classification_failure_count,classification_failure_rate,eval_batch_size,max_seq_length,learning_rate,lora_r,lora_alpha,lora_dropout,checkpoint_path,runtime_seconds,status,error_message
04_causal_lm_structured_generation,causal_lm_structured_json_generation_parsing,train_subset,8,lora_capacity_seq512_lr1e-4_r32_a64_do0p05,trainer_checkpoint,300,1000,500,500,0.995,0.9900990099009901,1.0,0.9950248756218906,0.99,0.995,5.0,0.0,500.0,495.0,0.01,0.0,0.505,0.0,0.0,32.0,512,0.0001,32,64,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/04_causal_lm_structured_generation/results/sweeps/qwen3_clm_structured_generation_20260607_122307/08_lora_capacity_seq512_lr1e-4_r32_a64_do0p05/trainer_output/checkpoint-300,27.8571,completed,
04_causal_lm_structured_generation,causal_lm_structured_json_generation_parsing,enron,8,lora_capacity_seq512_lr1e-4_r32_a64_do0p05,trainer_checkpoint,300,1000,1000,0,0.845,0.0,0.0,0.0,0.845,0.4225,155.0,0.0,0.0,845.0,0.155,0.0,0.155,0.0,0.0,32.0,512,0.0001,32,64,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/04_causal_lm_structured_generation/results/sweeps/qwen3_clm_structured_generation_20260607_122307/08_lora_capacity_seq512_lr1e-4_r32_a64_do0p05/trainer_output/checkpoint-300,23.7996,completed,
04_causal_lm_structured_generation,causal_lm_structured_json_generation_parsing,fraudulent_email_corpus,8,lora_capacity_seq512_lr1e-4_r32_a64_do0p05,trainer_checkpoint,300,1000,0,1000,0.966,1.0,0.966,0.982706002034588,0.0,0.483,0.0,34.0,966.0,0.0,0.0,0.034,0.966,0.0,0.0,32.0,512,0.0001,32,64,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/04_causal_lm_structured_generation/results/sweeps/qwen3_clm_structured_generation_20260607_122307/08_lora_capacity_seq512_lr1e-4_r32_a64_do0p05/trainer_output/checkpoint-300,27.0178,completed,
04_causal_lm_structured_generation,causal_lm_structured_json_generation_parsing,spam_ham,8,lora_capacity_seq512_lr1e-4_r32_a64_do0p05,trainer_checkpoint,300,1000,716,284,0.823,0.6170678336980306,0.9929577464788732,0.7611336032388664,0.755586592178771,0.8742721693288221,175.0,2.0,282.0,541.0,0.24441340782122906,0.007042253521126761,0.457,0.0,0.0,32.0,512,0.0001,32,64,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/04_causal_lm_structured_generation/results/sweeps/qwen3_clm_structured_generation_20260607_122307/08_lora_capacity_seq512_lr1e-4_r32_a64_do0p05/trainer_output/checkpoint-300,24.2258,completed,
04_causal_lm_structured_generation,causal_lm_structured_json_generation_parsing,train_subset,8,lora_capacity_seq512_lr1e-4_r32_a64_do0p05,trainer_checkpoint,900,1000,500,500,0.997,0.9960079840319361,0.998,0.997002997002997,0.996,0.997,2.0,1.0,499.0,498.0,0.004,0.002,0.501,0.0,0.0,32.0,512,0.0001,32,64,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/04_causal_lm_structured_generation/results/sweeps/qwen3_clm_structured_generation_20260607_122307/08_lora_capacity_seq512_lr1e-4_r32_a64_do0p05/trainer_output/checkpoint-900,24.8156,completed,
04_causal_lm_structured_generation,causal_lm_structured_json_generation_parsing,enron,8,lora_capacity_seq512_lr1e-4_r32_a64_do0p05,trainer_checkpoint,900,1000,1000,0,0.9,0.0,0.0,0.0,0.9,0.45,100.0,0.0,0.0,900.0,0.1,0.0,0.1,0.0,0.0,32.0,512,0.0001,32,64,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/04_causal_lm_structured_generation/results/sweeps/qwen3_clm_structured_generation_20260607_122307/08_lora_capacity_seq512_lr1e-4_r32_a64_do0p05/trainer_output/checkpoint-900,23.9322,completed,
04_causal_lm_structured_generation,causal_lm_structured_json_generation_parsing,fraudulent_email_corpus,8,lora_capacity_seq512_lr1e-4_r32_a64_do0p05,trainer_checkpoint,900,1000,0,1000,0.947,1.0,0.947,0.9727786337955828,0.0,0.4735,0.0,53.0,947.0,0.0,0.0,0.053,0.947,0.0,0.0,32.0,512,0.0001,32,64,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/04_causal_lm_structured_generation/results/sweeps/qwen3_clm_structured_generation_20260607_122307/08_lora_capacity_seq512_lr1e-4_r32_a64_do0p05/trainer_output/checkpoint-900,27.0363,completed,
04_causal_lm_structured_generation,causal_lm_structured_json_generation_parsing,spam_ham,8,lora_capacity_seq512_lr1e-4_r32_a64_do0p05,trainer_checkpoint,900,1000,716,284,0.788,0.5725806451612904,1.0,0.7282051282051282,0.7039106145251397,0.8519553072625698,212.0,0.0,284.0,504.0,0.29608938547486036,0.0,0.496,0.0,0.0,32.0,512,0.0001,32,64,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/04_causal_lm_structured_generation/results/sweeps/qwen3_clm_structured_generation_20260607_122307/08_lora_capacity_seq512_lr1e-4_r32_a64_do0p05/trainer_output/checkpoint-900,23.9562,completed,
04_causal_lm_structured_generation,causal_lm_structured_json_generation_parsing,train_subset,8,lora_capacity_seq512_lr1e-4_r32_a64_do0p05,trainer_checkpoint,1200,1000,500,500,0.996,0.9920634920634921,1.0,0.9960159362549801,0.992,0.996,4.0,0.0,500.0,496.0,0.008,0.0,0.504,0.0,0.0,32.0,512,0.0001,32,64,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/04_causal_lm_structured_generation/results/sweeps/qwen3_clm_structured_generation_20260607_122307/08_lora_capacity_seq512_lr1e-4_r32_a64_do0p05/trainer_output/checkpoint-1200,24.6145,completed,
04_causal_lm_structured_generation,causal_lm_structured_json_generation_parsing,enron,8,lora_capacity_seq512_lr1e-4_r32_a64_do0p05,trainer_checkpoint,1200,1000,1000,0,0.8,0.0,0.0,0.0,0.8,0.4,200.0,0.0,0.0,800.0,0.2,0.0,0.2,0.0,0.0,32.0,512,0.0001,32,64,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/04_causal_lm_structured_generation/results/sweeps/qwen3_clm_structured_generation_20260607_122307/08_lora_capacity_seq512_lr1e-4_r32_a64_do0p05/trainer_output/checkpoint-1200,23.9143,completed,
04_causal_lm_structured_generation,causal_lm_structured_json_generation_parsing,fraudulent_email_corpus,8,lora_capacity_seq512_lr1e-4_r32_a64_do0p05,trainer_checkpoint,1200,1000,0,1000,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.0,1000.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,512,0.0001,32,64,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/04_causal_lm_structured_generation/results/sweeps/qwen3_clm_structured_generation_20260607_122307/08_lora_capacity_seq512_lr1e-4_r32_a64_do0p05/trainer_output/checkpoint-1200,26.8494,completed,
04_causal_lm_structured_generation,causal_lm_structured_json_generation_parsing,spam_ham,8,lora_capacity_seq512_lr1e-4_r32_a64_do0p05,trainer_checkpoint,1200,1000,716,284,0.777,0.5601577909270217,1.0,0.7180783817951959,0.6885474860335196,0.8442737430167597,223.0,0.0,284.0,493.0,0.31145251396648044,0.0,0.507,0.0,0.0,32.0,512,0.0001,32,64,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/04_causal_lm_structured_generation/results/sweeps/qwen3_clm_structured_generation_20260607_122307/08_lora_capacity_seq512_lr1e-4_r32_a64_do0p05/trainer_output/checkpoint-1200,23.7027,completed,
04_causal_lm_structured_generation,causal_lm_structured_json_generation_parsing,train_subset,8,lora_capacity_seq512_lr1e-4_r32_a64_do0p05,trainer_checkpoint,1800,1000,500,500,0.998,0.9960159362549801,1.0,0.998003992015968,0.996,0.998,2.0,0.0,500.0,498.0,0.004,0.0,0.502,0.0,0.0,32.0,512,0.0001,32,64,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/04_causal_lm_structured_generation/results/sweeps/qwen3_clm_structured_generation_20260607_122307/08_lora_capacity_seq512_lr1e-4_r32_a64_do0p05/trainer_output/checkpoint-1800,25.9307,completed,
04_causal_lm_structured_generation,causal_lm_structured_json_generation_parsing,enron,8,lora_capacity_seq512_lr1e-4_r32_a64_do0p05,trainer_checkpoint,1800,1000,1000,0,0.81,0.0,0.0,0.0,0.81,0.405,190.0,0.0,0.0,810.0,0.19,0.0,0.19,0.0,0.0,32.0,512,0.0001,32,64,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/04_causal_lm_structured_generation/results/sweeps/qwen3_clm_structured_generation_20260607_122307/08_lora_capacity_seq512_lr1e-4_r32_a64_do0p05/trainer_output/checkpoint-1800,23.677,completed,
04_causal_lm_structured_generation,causal_lm_structured_json_generation_parsing,fraudulent_email_corpus,8,lora_capacity_seq512_lr1e-4_r32_a64_do0p05,trainer_checkpoint,1800,1000,0,1000,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.0,1000.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,512,0.0001,32,64,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/04_causal_lm_structured_generation/results/sweeps/qwen3_clm_structured_generation_20260607_122307/08_lora_capacity_seq512_lr1e-4_r32_a64_do0p05/trainer_output/checkpoint-1800,26.6071,completed,
04_causal_lm_structured_generation,causal_lm_structured_json_generation_parsing,spam_ham,8,lora_capacity_seq512_lr1e-4_r32_a64_do0p05,trainer_checkpoint,1800,1000,716,284,0.835,0.6325167037861915,1.0,0.7748976807639837,0.7695530726256983,0.8847765363128491,165.0,0.0,284.0,551.0,0.23044692737430167,0.0,0.449,0.0,0.0,32.0,512,0.0001,32,64,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/04_causal_lm_structured_generation/results/sweeps/qwen3_clm_structured_generation_20260607_122307/08_lora_capacity_seq512_lr1e-4_r32_a64_do0p05/trainer_output/checkpoint-1800,22.763,completed,
04_causal_lm_structured_generation,causal_lm_structured_json_generation_parsing,train_subset,8,lora_capacity_seq512_lr1e-4_r32_a64_do0p05,trainer_checkpoint,2100,1000,500,500,0.998,0.9960159362549801,1.0,0.998003992015968,0.996,0.998,2.0,0.0,500.0,498.0,0.004,0.0,0.502,0.0,0.0,32.0,512,0.0001,32,64,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/04_causal_lm_structured_generation/results/sweeps/qwen3_clm_structured_generation_20260607_122307/08_lora_capacity_seq512_lr1e-4_r32_a64_do0p05/trainer_output/checkpoint-2100,24.1409,completed,
04_causal_lm_structured_generation,causal_lm_structured_json_generation_parsing,enron,8,lora_capacity_seq512_lr1e-4_r32_a64_do0p05,trainer_checkpoint,2100,1000,1000,0,0.927,0.0,0.0,0.0,0.927,0.4635,73.0,0.0,0.0,927.0,0.073,0.0,0.073,0.0,0.0,32.0,512,0.0001,32,64,0.05,/home/ubuntu/masters-thesis/lora-fine-tuning/methods/04_causal_lm_structured_generation/results/sweeps/qwen3_clm_structured_generation_20260607_122307/08_lora_capacity_seq512_lr1e-4_r32_a64_do0p05/trainer_output/checkpoint-2100,23.6479,completed,
